Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,08-04-2018,8,1,0,0,0,9.5,4
2,13-04-2018,6,2,1,1,65,6.75,4
3,15-04-2018,2,1,2,3,37.33,11.75,4
4,19-04-2018,1,1,2,5,27,5.75,4
5,21-04-2018,3,2,2,7,23.57,7.5,4
6,23-04-2018,8,2,2,9,21.11,6.25,4
7,26-04-2018,1,2,0,9,24.22,7,4
8,04-05-2018,5,2,1,10,25.3,8.75,4
9,06-05-2018,4,2,2,12,23.08,6,4
10,08-05-2018,4,2,4,16,19.44,8.5,4
11,12-05-2018,3,2,4,20,17.6,10.25,4
12,14-05-2018,6,2,0,20,19.25,8.25,4
13,16-05-2018,5,2,4,24,16.71,4,4
14,20-05-2018,2,2,0,24,18.67,11.75,4
