Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,06-04-2017,2,1,0,0,0,7.25,4
2,09-04-2017,4,1,1,1,68,9.75,4
3,12-04-2017,3,1,3,4,23,6,4
4,14-04-2017,8,2,0,4,32.75,9.75,4
5,16-04-2017,7,1,0,4,44,11.25,4
6,20-04-2017,5,2,1,5,41.2,7.5,4
7,22-04-2017,6,1,2,7,32.43,5.25,4
8,24-04-2017,2,1,2,9,28.44,7.25,4
9,29-04-2017,7,2,2,11,26.18,8,4
10,01-05-2017,8,1,1,12,26.75,8.25,4
11,06-05-2017,6,2,1,13,25.15,6,1
12,08-05-2017,3,2,1,14,25.07,7.2,3.2
13,11-05-2017,5,1,1,15,25,6,4
14,16-05-2017,2,1,0,15,27.2,8.25,4
15,19-05-2017,4,2,3,18,23.06,2.33,3
16,21-05-2017,2,2,2,20,22.05,6.5,4
