Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,08-04-2018,6,1,0,0,0,11,3
2,10-04-2018,2,2,1,1,60,9,3
3,14-04-2018,1,1,1,2,41.5,5.75,4
4,16-04-2018,8,1,3,5,23,9.6,3.2
5,18-04-2018,4,2,1,6,23,5.75,4
6,21-04-2018,7,1,0,6,25.17,13,1
7,27-04-2018,8,2,0,6,28.83,11,2
8,29-04-2018,6,2,1,7,27.57,5,4
9,03-05-2018,2,1,1,8,28.38,8.5,4
10,06-05-2018,5,2,0,8,30.5,8.5,2
11,09-05-2018,5,1,0,8,35.88,14.33,3
12,12-05-2018,7,2,1,9,35.11,14.5,2
13,15-05-2018,4,1,4,13,25.85,5,4
14,19-05-2018,1,2,1,14,26.5,8.75,4
15,23-05-2018,4,1,1,15,25.93,4.5,4
16,25-05-2018,1,1,2,17,24.59,7.25,4
