Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,06-04-2017,2,1,1,1,36,9,4
2,09-04-2017,4,1,1,2,43.5,12.75,4
3,12-04-2017,3,1,1,3,43,10.5,4
4,14-04-2017,8,2,2,5,29.8,5,4
5,16-04-2017,7,1,2,7,24.71,6,4
6,20-04-2017,5,2,2,9,24.33,11.5,4
7,22-04-2017,6,1,3,12,20.25,6,4
8,24-04-2017,2,1,0,12,23.25,9,4
9,29-04-2017,7,2,0,12,27.42,12.5,4
10,01-05-2017,8,1,3,15,24.2,8.5,4
11,06-05-2017,6,2,1,16,23.81,9,2
12,08-05-2017,3,2,1,17,23.94,6.5,4
13,11-05-2017,5,1,1,18,25.61,13.5,4
14,16-05-2017,2,1,1,19,26.68,11.5,4
