Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,08-04-2018,7,2,1,1,34,8.87,3.5
2,11-04-2018,4,2,1,2,30,8.67,3
3,14-04-2018,5,2,2,4,24.75,9.75,4
4,16-04-2018,3,2,2,6,21.33,7.25,4
5,21-04-2018,6,2,1,7,23,8.25,4
6,23-04-2018,7,1,2,9,20.22,7,3
7,27-04-2018,3,1,2,11,20.55,11,4
8,30-04-2018,2,2,0,11,24.91,12,4
9,02-05-2018,4,1,2,13,23.08,8.67,3
10,05-05-2018,1,2,0,13,25.38,7.5,4
11,10-05-2018,1,1,0,13,28.69,11.22,3.5
12,12-05-2018,6,1,2,15,27.53,10,4
13,18-05-2018,2,1,2,17,25.47,5,4
14,20-05-2018,5,1,1,18,25.89,8.25,4
