Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,08-04-2018,3,2,0,0,0,9.67,3
2,13-04-2018,7,1,1,1,67,9.5,4
3,15-04-2018,4,1,2,3,29.67,5.5,4
4,17-04-2018,5,2,0,3,40.33,10.67,3
5,21-04-2018,8,1,2,5,28.6,7.33,3
6,25-04-2018,2,1,2,7,24.14,6.5,4
7,29-04-2018,3,1,0,7,28.29,7.25,4
8,01-05-2018,5,1,0,7,31.57,5.75,4
9,05-05-2018,2,2,0,7,35.71,9.67,3
10,07-05-2018,1,2,1,8,34.38,6.25,4
11,12-05-2018,8,2,2,10,30.3,7,4
12,14-05-2018,7,2,1,11,28.09,3,2
13,17-05-2018,1,1,1,12,28.08,7,4
14,19-05-2018,4,2,0,12,30.25,6.5,4
