Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,,matches played,innings played,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,best match bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls
1,0,0,1,Aiden Blizzard,Australia,Mumbai Indians,20000,40,40,3,817,89,0,1,22.08,542,150.73,0,2,115,27,0.375,15,0,,40,1,0,6,10,0,0,-,-,0,10,-,0,0,0
2,0,0,1,Jonathan Vandiar,South Africa,Royal Challengers Bangalore,20000,18,18,1,356,71,0,1,20.94,298,119.46,0,3,29,14,0.111111111,2,0,,18,-,0,-,-,0,-,-,-,0,-,-,-,-,-
3,0,0,1,Nathan Rimmington,Australia,Kings XI Punjab,20000,23,8,5,33,24,0,0,11,25,132,0,0,3,1,0.304347826,7,0,,23,22,1,466,563,0,31,01-05-27,01-05-27,18.16,7.24,15,0,1,0
4,0,0,1,Rilee Rossouw,South Africa,Royal Challengers Bangalore,20000,20,20,0,343,65,0,1,17.15,307,111.72,0,1,32,11,0.4,8,0,,20,-,0,-,-,0,-,-,-,0,-,-,-,-,-
5,0,0,1,Robert Frylinck,South Africa,Delhi Daredevils,20000,25,22,8,213,32,0,0,15.21,129,165.11,0,0,17,14,0.36,9,0,,25,23,1,498,623,0,26,01-04-31,01-04-31,23.96,7.5,19.1,1,0,0
6,0,0,1,Travis Birt,Australia,Delhi Daredevils,20000,45,43,3,820,58,0,1,20.5,626,130.99,0,2,69,33,0.4,18,0,,45,-,0,-,-,0,-,-,-,0,-,-,-,-,-
7,0,0,1,George Bailey,Australia,Chennai Super Kings,50000,32,28,4,714,60,0,1,29.75,521,137.04,0,5,59,26,0.28125,9,0,,32,1,0,12,24,0,0,-,-,0,12,-,0,0,0
8,0,0,1,Johan van der Wath,South Africa,Royal Challengers Bangalore,50000,78,57,18,672,48,0,1,17.23,510,131.76,0,0,40,37,0.08974359,7,0,,78,74,1,1555,1984,0,78,03-05-11,03-05-11,25.43,7.65,19.9,0,0,0
9,0,0,1,Luke Pomersbasch,Australia,Royal Challengers Bangalore,50000,35,33,5,623,79,0,1,22.25,480,129.79,0,2,51,30,0.457142857,16,0,,35,-,0,-,-,0,-,-,-,0,-,-,-,-,-
10,0,0,1,Moises Henriques,Australia,Mumbai Indians,50000,40,35,5,549,51,0,1,18.3,457,120.13,0,1,46,10,0.575,23,0,,40,36,1,645,914,0,31,03-11-11,03-11-11,29.48,8.5,20.8,0,0,0
11,0,0,1,Roelof van der Merwe,South Africa,Delhi Daredevils,50000,59,41,11,721,89,0,1,24.03,538,134.01,0,5,58,38,0.440677966,26,0,,59,59,1,1200,1441,0,65,01-03-18,01-03-18,22.16,7.2,18.4,0,0,0
12,0,0,1,Michael Klinger,Australia,Kochi,75000,30,29,4,690,78,0,1,27.6,549,125.68,0,4,64,20,0.3,9,0,,30,-,0,-,-,0,-,-,-,0,-,-,-,-,-
13,0,0,1,Andrew McDonald,Australia,Delhi Daredevils,80000,62,55,21,1267,96*,0,1,37.26,1004,126.19,0,8,96,27,0.403225806,25,0,,62,57,1,1076,1388,0,62,01-05-13,01-05-13,22.38,7.73,17.3,1,1,0
14,0,0,1,Michael Lumb,England,Deccan Chargers,80000,103,103,6,2161,124*,0,1,22.27,1511,143.01,1,12,285,71,0.32038835,33,0,,103,3,0,36,65,0,3,01-03-32,01-03-32,21.66,10.83,12,0,0,0
15,0,0,1,Suraj Randiv,Sri Lanka,Chennai Super Kings,80000,29,8,1,43,20,0,0,6.14,34,126.47,0,0,2,2,0.344827586,10,0,,29,27,1,538,644,0,27,01-03-20,01-03-20,23.85,7.18,19.9,0,0,0
16,0,0,1,Thisara Perera,Sri Lanka,Kochi,80000,40,30,10,209,24,0,0,10.45,176,118.75,0,0,16,10,0.35,14,0,,40,39,1,689,843,0,38,01-03-17,01-03-17,22.18,7.34,18.1,0,0,0
17,0,0,1,Rusty Theron,South Africa,Deccan Chargers,85000,50,18,9,71,24*,0,0,7.88,70,101.42,0,0,4,1,0.34,17,0,,50,50,1,1098,1280,0,58,01-04-27,01-04-27,22.06,6.99,18.9,1,0,0
18,0,0,1,Alfonso Thomas,South Africa,Pune Warriors,100000,104,33,19,173,30*,0,0,12.35,158,109.49,0,0,19,2,0.298076923,31,0,,104,98,1,2049,2481,1,125,01-04-27,01-04-27,19.84,7.26,16.3,1,0,0
19,0,0,1,Ben Hilfenhaus,Australia,Chennai Super Kings,100000,21,9,4,28,7*,0,0,5.6,43,65.11,0,0,0,1,0.095238095,2,0,,21,21,1,439,519,0,25,01-03-17,01-03-17,20.76,7.09,17.5,0,0,0
20,0,0,1,Colin Ingram,South Africa,Delhi Daredevils,100000,32,31,4,686,84,0,1,25.4,570,120.35,0,4,59,26,0.25,8,0,,32,-,0,-,-,0,-,-,-,0,-,-,-,-,-
21,0,0,1,Dimitri Mascarenhas,England,Kings XI Punjab,100000,81,71,20,1045,57*,0,1,20.49,829,126.05,0,3,70,38,0.271604938,22,0,,81,79,1,1609,1883,1,101,01-05-14,01-05-14,18.64,7.02,15.9,1,1,0
22,0,0,1,James Franklin,New Zealand,Mumbai Indians,100000,72,64,17,1531,90,1,1,32.57,1187,128.98,0,6,109,55,0.277777778,20,0,,72,61,1,1074,1473,0,40,01-03-23,01-03-23,36.82,8.22,26.8,0,0,0
23,0,0,1,Jerome Taylor,West Indies,Pune Warriors,100000,35,15,7,70,16*,0,0,8.75,53,132.07,0,0,4,3,0.2,7,0,,35,35,1,751,941,0,49,05-10-11,05-10-11,19.2,7.51,15.3,0,1,0
24,0,1,1,Matthew Wade,Australia,Delhi Daredevils,100000,27,22,4,349,80,0,1,19.38,299,116.72,0,2,30,11,0.481481481,13,2,,27,-,0,-,-,0,-,-,-,0,-,-,-,-,-
25,0,0,1,Nathan McCullum,New Zealand,Pune Warriors,100000,73,59,18,989,76*,0,1,24.12,730,135.47,0,3,61,47,0.410958904,30,0,,73,66,1,1327,1543,1,71,01-04-16,01-04-16,21.73,6.97,18.6,2,0,0
26,0,0,1,Nuwan Kulasekara,Sri Lanka,Chennai Super Kings,100000,31,22,8,155,30*,0,0,11.07,124,125,0,0,5,8,0.387096774,12,0,,31,31,1,674,862,0,32,03-04-11,03-04-11,26.93,7.67,21,0,0,0
27,0,1,0,Wriddhiman Saha,India,Chennai Super Kings,100000,56,43,17,747,85*,0,1,28.73,550,135.81,0,3,61,32,0.482142857,27,6,,56,-,0,-,-,0,-,-,-,0,-,-,-,-,-
